Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",,"=""0141382899""","=""9780141382890""",0,4.37,Puffin Books,Paperback,320,2007,2007,2023/11/05,2024/01/10,,,read,,,,1,0
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"Riordan, Rick",,"=""142311339X""","=""9781423113393""",0,4.31,Disney-Hyperion Books,Hardcover,576,2010,2010,2023/11/09,2024/01/10,,,read,,,,1,0
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,"=""1423101472""","=""9781423101475""",0,4.54,Disney-Hyperion Books,Hardcover,381,2009,2009,2023/11/08,2024/01/10,,,read,,,,1,0
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140605""","=""9781423140603""",0,4.47,Disney-Hyperion Books,Hardcover,586,2012,2012,2023/11/12,2024/01/10,,,read,,,,1,0
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"Riordan, Rick",,"=""1484724917""","=""9781423146735""",0,4.43,Disney-Hyperion Books,Hardcover,516,2014,2014,2023/11/15,2024/01/10,,,read,,,,1,0
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,"=""1423146727""","=""9781423146728""",0,4.56,Disney-Hyperion Books,Hardcover,597,2013,2013,2023/11/14,2024/01/10,,,read,,,,1,0
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140591""","=""9781423140597""",0,4.42,Disney-Hyperion Books,Hardcover,521,2011,2011,2023/11/11,2024/01/10,,,read,,,,1,0
8130423,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,4.42,Disney Hyperion,Kindle Edition,361,2009,2008,2023/11/06,2024/01/10,,,read,,,,1,0
40727118,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0120000318""","=""9780120000319""",0,4.24,Disney-Hyperion,Hardcover,279,,2006,2023/11/03,2024/01/10,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,4.30,Disney Hyperion Books,Paperback,377,2006,2005,2023/11/01,2024/01/10,,,read,,,,1,0
39218350,"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,"Land, Stephanie",Barbara Ehrenreich,"=""""","=""""",4,3.85,Hachette Books,Hardcover,270,2019,2019,2023/12/28,2024/01/10,,,read,,,,1,0
37570546,Maybe You Should Talk to Someone,Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.38,Harper,Hardcover,415,2019,2019,2023/06/26,2024/01/10,,,read,,,,1,0
44017627,"Wayward Son (Simon Snow, #2)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250146070""","=""9781250146076""",0,3.92,Wednesday Books,Hardcover,356,2019,2019,2023/07/02,2024/01/10,,,read,,,,1,0
52190991,"Any Way the Wind Blows (Simon Snow, #3)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250254337""","=""9781250254337""",0,4.13,Wednesday Books,Hardcover,579,2021,2021,2023/07/11,2024/01/10,,,read,,,,1,0
36809135,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,"=""0735219117""","=""9780735219113""",0,4.39,G.P. Putnam’s Sons,ebook,384,2018,2018,2023/07/13,2024/01/10,,,read,,,,1,0
1934,Little Women,Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.15,Signet Classics,Mass Market Paperback,449,2004,1868,2023/07/22,2024/01/10,,,read,,,,1,0
61492446,A Very Typical Family,Sierra Godfrey,"Godfrey, Sierra",,"=""1728264960""","=""9781728264967""",0,3.47,Sourcebooks Landmark,Paperback,416,2023,2022,2023/07/25,2024/01/10,,,read,,,,1,0
60507452,When Franny Stands Up,Eden  Robins,"Robins, Eden",,"=""1728256003""","=""9781728256009""",0,3.12,Sourcebooks Landmark,Paperback,400,2022,2022,2023/07/27,2024/01/10,,,read,,,,1,0
60149529,The Most Likely Club,Elyssa Friedland,"Friedland, Elyssa",,"=""059319974X""","=""9780593199749""",0,3.33,Berkley,Paperback,368,2022,2022,2023/07/26,2024/01/10,,,read,,,,1,0
55659629,"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,"Bailey, Tessa",,"=""0063045656""","=""9780063045651""",0,3.98,Avon,Paperback,397,2021,2021,2023/07/25,2024/01/10,,,read,,,,1,0
57693416,The Golden Couple,Greer Hendricks,"Hendricks, Greer",Sarah Pekkanen,"=""125027320X""","=""9781250273208""",0,3.99,St. Martin's Press,Hardcover,329,2022,2022,2023/07/31,2024/01/10,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.20,Knopf,Hardcover,401,2022,2022,2023/08/04,2024/01/10,,,read,,,,1,0
58065033,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",0,4.31,Doubleday Books,Hardcover,390,2022,2022,2023/08/04,2024/01/10,,,read,,,,1,0
62588481,The Spectacular,Fiona  Davis,"Davis, Fiona",,"=""0593184041""","=""9780593184042""",0,4.12,Dutton,Hardcover,368,2023,2023,2023/08/04,2024/01/10,,,read,,,,1,0
56625098,The Wish,Nicholas Sparks,"Sparks, Nicholas",,"=""1538728621""","=""9781538728628""",0,4.35,Grand Central Publishing,Hardcover,387,2021,2021,2023/08/08,2024/01/10,,,read,,,,1,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",0,3.81,Hogarth,Hardcover,273,2019,2018,2023/08/11,2024/01/10,,,read,,,,1,0
25893709,"My Name Is Lucy Barton (Amgash, #1)",Elizabeth Strout,"Strout, Elizabeth",,"=""1400067693""","=""9781400067695""",0,3.58,Random House,Hardcover,193,2016,2016,2023/08/13,2024/01/10,,,read,,,,1,0
32080126,"Anything Is Possible (Amgash, #2)",Elizabeth Strout,"Strout, Elizabeth",,"=""0812989406""","=""9780812989403""",0,3.78,Random House,Hardcover,254,2017,2017,2023/08/16,2024/01/10,,,read,,,,1,0
60657583,"Lucy by the Sea (Amgash, #4)",Elizabeth Strout,"Strout, Elizabeth",,"=""0593446062""","=""9780593446065""",0,3.94,Random House,Hardcover,291,2022,2022,2023/08/25,2024/01/10,,,read,,,,1,0
61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,"=""""","=""""",0,4.20,The Dial Press,Kindle Edition,416,2023,2023,2023/09/03,2024/01/10,,,read,,,,1,0
63222106,The Spare Room,Andrea Bartz,"Bartz, Andrea",,"=""1984820494""","=""9781984820495""",0,3.11,Ballantine Books,Hardcover,336,2023,2023,2023/08/30,2024/01/10,,,read,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.41,Ecco,Hardcover,360,2022,2022,2023/09/07,2024/01/10,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""""","=""""",0,4.00,Viking,Hardcover,304,2020,2020,2023/09/15,2024/01/10,,,read,,,,1,0
58386733,The Violin Conspiracy,Brendan Slocumb,"Slocumb, Brendan",,"=""0593315413""","=""9780593315415""",0,4.13,Anchor,Hardcover,345,2022,2022,2023/09/13,2024/01/10,,,read,,,,1,0
35224992,Last Night at the Telegraph Club,Malinda Lo,"Lo, Malinda",,"=""0525555250""","=""9780525555254""",0,4.23,Dutton Books for Young Readers,Hardcover,409,2021,2021,2023/09/16,2024/01/10,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",0,3.86,William Morrow,Hardcover,336,2023,2023,2023/10/06,2024/01/10,,,read,,,,1,0
59912428,Mad Honey,Jodi Picoult,"Picoult, Jodi",Jennifer Finney Boylan,"=""1984818384""","=""9781984818386""",0,4.12,Ballantine,Hardcover,464,2022,2022,2023/10/04,2024/01/10,,,read,,,,1,0
58505877,"Run, Rose, Run",Dolly Parton,"Parton, Dolly",James Patterson,"=""075955434X""","=""9780759554344""",0,3.81,"Little, Brown and Company",Hardcover,439,2022,2022,2023/10/15,2024/01/10,,,read,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",0,4.43,Atria Books,Hardcover,389,2017,2017,2023/10/13,2024/01/10,,,read,,,,1,0
58490567,The Diamond Eye,Kate Quinn,"Quinn, Kate",,"=""0062943510""","=""9780062943514""",0,4.29,William Morrow,Hardcover,435,2022,2022,2023/10/28,2024/01/10,,,read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.94,Scholastic Press,Kindle Edition,541,2020,2020,2023/10/30,2024/01/10,,,read,,,,1,0
62971668,Someone Else's Shoes,Jojo Moyes,"Moyes, Jojo",,"=""1984879294""","=""9781984879295""",0,3.98,Pamela Dorman Books,Hardcover,438,2023,2023,2023/12/06,2024/01/10,,,read,,,,1,0
59314709,Counterfeit,Kirstin Chen,"Chen, Kirstin",,"=""""","=""""",0,3.49,William Morrow,Hardcover,288,2022,2022,2023/12/08,2024/01/10,,,read,,,,1,0
54981009,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,"=""""","=""""",0,3.84,Simon & Schuster,Hardcover,320,2021,2021,2023/12/17,2024/01/10,,,read,,,,1,0
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""""","=""""",5,4.09,Random House,Hardcover,276,2006,2006,,2018/08/01,,,read,,,,1,0
36341878,"In Conclusion, Don't Worry About It",Lauren Graham,"Graham, Lauren",,"=""1524799602""","=""9781524799601""",4,3.80,Ballantine Books,Kindle Edition,52,2018,2018,,2018/08/01,,,read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""""","=""""",4,4.40,Random House,Kindle Edition,208,2016,2016,,2018/08/01,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",4,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2018/08/01,,,read,,,,1,0
9615347,Anya's Ghost,Vera Brosgol,"Brosgol, Vera",,"=""1596437138""","=""9781596437135""",0,3.91,First Second,Hardcover,224,2011,2011,,2018/08/01,to-read,to-read (#4),to-read,,,,0,0
34043787,The Life-Changing Manga of Tidying Up,Marie Kondō,"Kondō, Marie",Yuko Uramoto,"=""""","=""""",0,4.10,Ten Speed Graphic,Kindle Edition,192,2017,2017,,2018/08/01,to-read,to-read (#3),to-read,,,,0,0
18465566,This One Summer,Mariko Tamaki,"Tamaki, Mariko",Jillian Tamaki,"=""1626720940""","=""9781626720947""",0,3.69,First Second,Hardcover,317,2014,2014,,2018/08/01,to-read,to-read (#2),to-read,,,,0,0
28204534,"Paper Girls, Volume 1",Brian K. Vaughan,"Vaughan, Brian K.","Cliff Chiang, Matt  Wilson, Jared K. Fletcher","=""1632156741""","=""9781632156747""",0,3.89,Image Comics,Paperback,144,2016,2016,,2018/08/01,to-read,to-read (#1),to-read,,,,0,0
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,"=""0803734964""","=""9780803734968""",5,4.16,Dial Books,Hardcover,371,2014,2014,,2018/08/01,,,read,,,,1,0
6567017,"Will Grayson, Will Grayson",John Green,"Green, John",David Levithan,"=""0525421580""","=""9780525421580""",3,3.71,Dutton Books,Hardcover,320,2010,2010,,2018/08/01,,,read,,,,1,0
32768522,"Carry On (Simon Snow, #1)",Rainbow Rowell,"Rowell, Rainbow",,"=""1250135028""","=""9781250135025""",4,4.18,Wednesday Books,Paperback,522,2017,2015,,2018/08/01,,,read,,,,1,0
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",5,4.32,Simon & Schuster Books for Young Readers,Hardcover,390,2012,2012,,2018/08/01,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2018/08/01,,,read,,,,1,0
